id,timestamp,device,s4mmet1.envtmp.mag.f,s2mmet1.envtmp.mag.f,s3mmet1.envtmp.mag.f,s5mmet1.envtmp.mag.f,tmpcntmmet1.envtmp.mag.f,tmppctmmet1.envtmp.mag.f,s2mmet1.poainsol1.mag.f,s3mmet1.poainsol1.mag.f,s4mmet1.poainsol1.mag.f,s5mmet1.poainsol1.mag.f,tmpcntmmet1.poainsol1.mag.f,tmppctmmet1.poainsol1.mag.f,s4pvstmp1.tmp.mag.f,s2pvstmp1.tmp.mag.f,s3pvstmp1.tmp.mag.f,s5pvstmp1.tmp.mag.f,tmpcntpvstmp1.tmp.mag.f,tmppctpvstmp1.tmp.mag.f
3279125,1/1/2025 16:46,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.059432983,0.672846496,0.316017256,0.207620428,13,100,10.08200916,8.931978226,11.01582527,0.496358623,12,100
3279126,1/1/2025 16:56,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.196085617,0.620295227,0.146743193,0.184878152,13,100,9.800367372,7.732059956,11.37451744,0.832867769,13,100
3279334,1/1/2025 17:36,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.294184357,0.308451325,0.073080045,0.149996879,13,100,9.704978277,7.753408909,11.14392471,0.752151314,13,100
3279336,1/1/2025 16:56,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.255650848,0.539703369,0.177652499,0.243013281,13,100,9.139533983,7.966917038,10.45643234,0.54943608,11,100
3279338,1/1/2025 17:16,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.262659699,0.455617279,0.199838971,0.182444567,13,100,9.055859618,7.595411777,10.56745338,0.645792995,13,100
3279545,1/1/2025 16:46,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.374771118,0.564239502,0.147898468,0.213511752,12,100,9.259216343,7.339199543,10.7681551,0.650959695,14,100
3279546,1/1/2025 19:43,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.192576095,0.47664389,0.072985223,0.205251714,13,100,9.111762035,7.693626881,10.75534248,0.596023661,14,100
3279754,1/1/2025 20:23,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.231119797,0.368026733,0.018761497,0.177979378,12,100,8.659333081,7.890057087,10.17032814,0.518598977,13,100
3279757,1/1/2025 19:53,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.255640656,0.56072998,0.102506903,0.188198477,13,100,9.049267199,7.518551826,10.17887115,0.531735772,12,100
3279758,1/1/2025 20:03,PARK_ECP001_S3_METEOSTA001,0,0,0,0,0,0,-0.273162842,0.462621063,0.158853886,0.17891914,14,100,9.156245225,8.291453362,10.08919716,0.476605549,13,100
