Time,sanitized_timestamp_for_iri,s4MMXU.TotW.mag.f
2024-06-30T08:10:00,20240630081000,964354
2024-06-30T08:20:00,20240630082000,978999
2024-06-30T08:30:00,20240630083000,993644
2024-06-30T08:40:00,20240630084000,1008288
2024-06-30T08:50:00,20240630085000,1022933
2024-06-30T09:00:00,20240630090000,1037578
2024-06-30T09:10:00,20240630091000,1051120
2024-06-30T09:20:00,20240630092000,1065674
2024-06-30T09:30:00,20240630093000,1080228
2024-06-30T09:40:00,20240630094000,1094783
2024-06-30T09:50:00,20240630095000,1109337
2024-06-30T10:00:00,20240630100000,1123891
2024-06-30T10:10:00,20240630101000,945247
2024-06-30T10:20:00,20240630102000,949177
2024-06-30T10:30:00,20240630103000,953106
2024-06-30T10:40:00,20240630104000,957035
2024-06-30T10:50:00,20240630105000,960964
2024-06-30T11:00:00,20240630110000,964894
2024-06-30T11:10:00,20240630111000,865503
2024-06-30T11:20:00,20240630112000,865160
2024-06-30T11:30:00,20240630113000,864817
2024-06-30T11:40:00,20240630114000,864474
2024-06-30T11:50:00,20240630115000,864130
2024-06-30T12:00:00,20240630120000,863787
2024-06-30T12:10:00,20240630121000,863444
2024-06-30T12:20:00,20240630122000,863101
2024-06-30T12:30:00,20240630123000,862758
2024-06-30T12:40:00,20240630124000,862415
2024-06-30T12:50:00,20240630125000,862072
2024-06-30T13:00:00,20240630130000,861729
2024-06-30T13:10:00,20240630131000,861386
2024-06-30T13:20:00,20240630132000,861043
2024-06-30T13:30:00,20240630133000,860699
2024-06-30T13:40:00,20240630134000,860356
2024-06-30T13:50:00,20240630135000,860013
2024-06-30T14:00:00,20240630140000,859670
2024-06-30T14:10:00,20240630141000,859327
2024-06-30T14:20:00,20240630142000,858984
2024-06-30T14:30:00,20240630143000,858641
2024-06-30T14:40:00,20240630144000,858298
2024-06-30T14:50:00,20240630145000,857955
2024-06-30T15:00:00,20240630150000,857612
2024-06-30T15:10:00,20240630151000,843141
2024-06-30T15:20:00,20240630152000,806834
2024-06-30T15:30:00,20240630153000,770280
2024-06-30T15:40:00,20240630154000,733727
2024-06-30T15:50:00,20240630155000,697173
2024-06-30T16:00:00,20240630160000,660620
2024-06-30T16:10:00,20240630161000,670606
2024-06-30T16:20:00,20240630162000,641343
2024-06-30T16:30:00,20240630163000,612080
2024-06-30T16:40:00,20240630164000,582817
2024-06-30T16:50:00,20240630165000,553555
2024-06-30T17:00:00,20240630170000,524292
2024-06-30T17:10:00,20240630171000,556622
2024-06-30T17:20:00,20240630172000,532333
2024-06-30T17:30:00,20240630173000,508044
2024-06-30T17:40:00,20240630174000,483755
2024-06-30T17:50:00,20240630175000,459466
2024-06-30T18:00:00,20240630180000,435177
2024-06-30T18:10:00,20240630181000,475757
2024-06-30T18:20:00,20240630182000,454996
2024-06-30T18:30:00,20240630183000,434236
2024-06-30T18:40:00,20240630184000,413476
2024-06-30T18:50:00,20240630185000,392715
2024-06-30T19:00:00,20240630190000,371955
2024-06-30T19:10:00,20240630191000,415407
2024-06-30T19:20:00,20240630192000,397280
2024-06-30T19:30:00,20240630193000,379153
2024-06-30T19:40:00,20240630194000,361026
2024-06-30T19:50:00,20240630195000,342900
2024-06-30T20:00:00,20240630200000,324773
2024-06-30T20:10:00,20240630201000,306646
2024-06-30T20:20:00,20240630202000,288519
2024-06-30T20:30:00,20240630203000,270392
2024-06-30T20:40:00,20240630204000,252265
2024-06-30T20:50:00,20240630205000,234138
2024-06-30T21:00:00,20240630210000,216012
2024-06-30T21:10:00,20240630211000,197885
2024-06-30T21:20:00,20240630212000,179758
2024-06-30T21:30:00,20240630213000,161631
2024-06-30T21:40:00,20240630214000,143504
2024-06-30T21:50:00,20240630215000,125377
2024-06-30T22:00:00,20240630220000,107251
2024-06-30T22:10:00,20240630221000,89124
2024-06-30T22:20:00,20240630222000,70997
2024-06-30T22:30:00,20240630223000,52870
2024-06-30T22:40:00,20240630224000,34743
2024-06-30T22:50:00,20240630225000,16616
2024-06-30T23:00:00,20240630230000,1574
2024-06-30T23:10:00,20240630231000,0
2024-06-30T23:20:00,20240630232000,0
