Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f,s4PVSTMP.Tmp.mag.f
2024-06-29T02:00:00,20240629020000,0.113,20.7
2024-06-29T02:10:00,20240629021000,0.121,20.5
2024-06-29T02:20:00,20240629022000,0.201,20.6
2024-06-29T02:30:00,20240629023000,0.186,20.6
2024-06-29T02:40:00,20240629024000,0.143,21.2
2024-06-29T02:50:00,20240629025000,0.248,21.0
2024-06-29T03:00:00,20240629030000,0.286,21.2
2024-06-29T03:10:00,20240629031000,0.202,21.5
2024-06-29T03:20:00,20240629032000,0.0174,21.3
2024-06-29T03:30:00,20240629033000,0.206,21.5
2024-06-29T03:40:00,20240629034000,0.0653,21.4
2024-06-29T03:50:00,20240629035000,0.148,20.8
2024-06-29T04:00:00,20240629040000,0.12,20.9
2024-06-29T04:10:00,20240629041000,0.295,20.9
2024-06-29T04:20:00,20240629042000,0.172,21.3
2024-06-29T04:30:00,20240629043000,0.126,21.3
2024-06-29T04:40:00,20240629044000,0.307,21.6
2024-06-29T04:50:00,20240629045000,0.28,21.6
2024-06-29T05:00:00,20240629050000,0.154,21.8
2024-06-29T05:10:00,20240629051000,0.212,22.1
2024-06-29T05:20:00,20240629052000,0.185,22.7
2024-06-29T05:30:00,20240629053000,0.221,23.1
2024-06-29T05:40:00,20240629054000,0.151,24.3
2024-06-29T05:50:00,20240629055000,0.17,23.1
2024-06-29T06:00:00,20240629060000,0.276,23.6
2024-06-29T06:10:00,20240629061000,0.283,23.7
2024-06-29T06:20:00,20240629062000,0.124,23.1
2024-06-29T06:30:00,20240629063000,0.185,23.0
2024-06-29T06:40:00,20240629064000,0.271,22.9
2024-06-29T06:50:00,20240629065000,0.197,22.7
2024-06-29T07:00:00,20240629070000,0.144,22.6
2024-06-29T07:10:00,20240629071000,0.255,22.9
2024-06-29T07:20:00,20240629072000,0.336,24.3
2024-06-29T07:30:00,20240629073000,0.279,24.1
2024-06-29T07:40:00,20240629074000,0.259,23.8
2024-06-29T07:50:00,20240629075000,0.258,23.1
2024-06-29T08:00:00,20240629080000,0.216,23.1
2024-06-29T08:10:00,20240629081000,0.285,23.4
2024-06-29T08:20:00,20240629082000,0.229,22.9
2024-06-29T08:30:00,20240629083000,0.213,21.5
2024-06-29T08:40:00,20240629084000,0.348,21.7
2024-06-29T08:50:00,20240629085000,0.273,21.7
2024-06-29T09:00:00,20240629090000,0.288,22.8
2024-06-29T09:10:00,20240629091000,0.329,21.7
2024-06-29T09:20:00,20240629092000,0.216,21.0
2024-06-29T09:30:00,20240629093000,0.36,22.1
2024-06-29T09:40:00,20240629094000,0.294,22.4
2024-06-29T09:50:00,20240629095000,0.283,21.8
2024-06-29T10:00:00,20240629100000,0.341,21.4
2024-06-29T10:10:00,20240629101000,0.307,21.7
2024-06-29T10:20:00,20240629102000,0.229,22.2
2024-06-29T10:30:00,20240629103000,0.183,23.1
2024-06-29T10:40:00,20240629104000,0.337,21.5
2024-06-29T10:50:00,20240629105000,0.307,22.5
2024-06-29T11:00:00,20240629110000,0.243,22.3
2024-06-29T11:10:00,20240629111000,0.267,22.7
2024-06-29T11:20:00,20240629112000,0.197,23.8
2024-06-29T11:30:00,20240629113000,0.239,23.0
2024-06-29T11:40:00,20240629114000,0.329,26.4
2024-06-29T11:50:00,20240629115000,0.253,27.8
2024-06-29T12:00:00,20240629120000,0.282,25.6
2024-06-29T12:10:00,20240629121000,0.255,24.8
2024-06-29T12:20:00,20240629122000,0.277,22.9
2024-06-29T12:30:00,20240629123000,0.22,24.3
2024-06-29T12:40:00,20240629124000,0.256,27.5
2024-06-29T12:50:00,20240629125000,0.297,31.9
2024-06-29T13:00:00,20240629130000,0.237,36.9
2024-06-29T13:10:00,20240629131000,0.115,38.5
2024-06-29T13:20:00,20240629132000,0.16,37.1
2024-06-29T13:30:00,20240629133000,0.218,39.5
2024-06-29T13:40:00,20240629134000,0.341,43.0
2024-06-29T13:50:00,20240629135000,0.317,34.6
2024-06-29T14:00:00,20240629140000,0.224,25.0
2024-06-29T14:10:00,20240629141000,0.262,21.4
